Name,Visibility,PageName,Head1,Head2,Search,Foot1,Foot2,Foot3,Izquierda-Top,Medio-Top,Derecha-Top,Izquierda-Mid,Derecha-Mid,Izquierda-Bott,Derecha-Bott
Artboard1,Public,signUpLogin_1,primary,,,primary-light,primary,secondary-dark,60%,,30%,,,,
Artboard2,Public,viewArt_2,primary,secondary-dark,Yes,,,secondary-dark,100%,,,,,,
Artboard3,Public,alerts_onHover_3,primary,secondary-dark,Yes,,,secondary-dark,100%,,,,,,
Artboard4,ArtistDashboard,viewSpecificPiece_4,primary,primary-light,Yes,,,secondary-dark,60%,,30%,,,100%,
Artboard5,ArtistDashboard,viewSpecificPieceLg_5,primary,primary-light,Yes,,,secondary-dark,60%,,30%,,,100%,
Artboard6,ArtistDashboard,viewSpecificPiece2_6,primary,primary-light,Yes,,,secondary-dark,100%,,,30%,60%,100%,
Artboard7,ArtistDashboard,viewSpecificPiece3_6,primary,primary-light,Yes,,,secondary-dark,100%,,,30%,60%,100%,
Artboard8,ArtistWorkDashboard,workPiece_8,primary,primary-light,Yes,,,secondary-dark,20%,50%,30%,20%,80%,,
Artboard9,ArtistProfileDashboard,artistProfile_9,primary,primary-light,Yes,,,secondary-dark,20%,80%,,,,,
Artboard10,Public,artistProfilePosts_10,primary,primary-light,Yes,,,secondary-dark,80%,20%,,,,,
Artboard11,Public,artistProfileReviews_11,primary,primary-light,Yes,,,secondary-dark,80%,20%,,,,,
Artboard12,CollectorDashboard,collectorDashboard_12,primary,blue,Yes,,,secondary-dark,20%,50%,30%,,,,
Artboard13,,,,,,,,,,,,,,,
Artboard14,,,,,,,,,,,,,,,
Artboard15,,,,,,,,,,,,,,,
Artboard16,,,,,,,,,,,,,,,
Artboard17,,,,,,,,,,,,,,,
Artboard18,,,,,,,,,,,,,,,
Artboard19,,,,,,,,,,,,,,,
Artboard20,,,,,,,,,,,,,,,
Artboard21,,,,,,,,,,,,,,,
Artboard22,,,,,,,,,,,,,,,
Artboard23,ArtistProfile,,,,,,,,,,,,,,